program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-CE,NAN,2nd,Ecd,EE 221,Thursday,00:30,02:00,R1,Dr.Shanila Azhar
BS-CE,NAN,2nd,Psgp,HUM 102,Friday,09:30,11:00,R7,Nan
BS-CE,NAN,2nd,Cp(Lab),CS112L,Friday,11:00,00:30,HBL LAB-III,Mr.Akram Khan
BS-CE,NAN,4th,Coa,CS 211,Monday,09:30,11:00,HBL LAB-III,Dr.Shafiullah
BS-CE,NAN,4th,Dsa,CS 214,Monday,11:00,02:00,HBL LAB-III,Engr.Farhan Aftab
BS-CE,NAN,4th,De,MATHA 214,Monday,03:00,04:30,R4,Mr.Najeebullah
BS-CE,NAN,4th,S&S(Lab),nan,Tuesday,09:30,00:30,HBL LAB-I,Engr.Zain Nadeem
BS-CE,NAN,4th,Dsa,CS 214,Tuesday,00:30,02:00,HBL LAB-I,Engr.Farhan Aftab
BS-CE,NAN,4th,De,nan,Tuesday,03:00,04:30,SSG-61,Mr.Najeebullah
BS-CE,NAN,4th,Dsa,nan,Wednesday,09:30,11:00,HBL LAB-II,Engr.Farhan Aftab
BS-CE,NAN,4th,Coa(Lab),CS 211L,Wednesday,11:00,02:00,HBL LAB-II,Engr.Muhammad Ryaz
BS-CE,NAN,4th,S&S,EE 261,Wednesday,03:00,04:00,SSG-61,Dr.Muhammad Shoaib Ali
BS-CE,NAN,4th,S&S,EE 261,Thursday,09:30,11:00,SSG-18,Dr.Muhammad Shoaib Ali
BS-CE,NAN,4th,We,nan,Thursday,11:00,00:30,HBL LAB-IV,Mr.Akram Khan
BS-CE,NAN,4th,We,nan,Thursday,00:30,02:00,HBL LAB-IV,Mr.Akram Khan
BS-CE,NAN,4th,Coa,CS 211,Thursday,03:00,04:30,SSG-61,Dr.Shafiullah
BS-CE,NAN,6th,Dbms(Lab),CS 331L,Monday,09:30,00:30,HBL LAB-I,Engr.Muhammad Ryaz
BS-CE,NAN,6th,Pme,MATHA217,Monday,00:30,02:00,SSG-56,Dr.Raza Ali
BS-CE,NAN,6th,Se,nan,Monday,03:00,04:30,SSG-56,Dr.Aadil Siddiqui
BS-CE,NAN,6th,Dsd,EE 302,Tuesday,09:30,11:00,SSG-56,Mr.Arsalan Ul Haq
BS-CE,NAN,6th,Pme,MATHA217,Tuesday,11:00,00:30,SSG-56,Dr.Raza Ali
BS-CE,NAN,6th,Ids,nan,Tuesday,00:30,02:00,SSA-150,Dr.Sibghat Ullah
BS-CE,NAN,6th,Se,nan,Tuesday,03:00,04:30,SSG-56,Dr.Aadil Siddiqui
BS-CE,NAN,6th,Dsd(Lab),EE 302L,Wednesday,09:30,00:30,HBL LAB-IV,Mr.Arsalan Ul Haq
BS-CE,NAN,6th,Dbms,CS 331,Wednesday,00:30,02:00,SSG-11,Dr.Shafiullah
BS-CE,NAN,6th,Ids,nan,Wednesday,03:00,04:30,SSA-150,Dr.Sibghat Ullah
BS-CE,NAN,6th,Dsd,EE 302,Thursday,09:30,11:00,SSG-56,Dr.Sibghat Ullah
BS-CE,NAN,6th,Dbms,CS 331,Thursday,11:00,00:30,R4,Dr.Shafiullah
BS-CE,NAN,8th,Cc,nan,Monday,09:30,11:00,R8,Dr.Jan Muhammad
BS-CE,NAN,8th,Psy&Hb,nan,Monday,11:00,00:30,R8,Ms.Naima Wahid
BS-CE,NAN,8th,Pp&E,nan,Monday,00:30,02:00,R8,Dr.Jameel Ahmed
BS-CE,NAN,8th,Cc,nan,Tuesday,09:30,11:00,R8,Dr.Jan Muhammad
BS-CE,NAN,8th,Psy&Hb,nan,Tuesday,11:00,00:30,R8,Ms.Naima Wahid
BS-CE,NAN,8th,Iot,nan,Tuesday,00:30,02:00,R1,Dr.Shanila Azhar
BS-CE,NAN,8th,Pp&E,nan,Tuesday,03:00,04:30,R8,Dr.Jameel Ahmed
BS-CE,NAN,8th,Sdp-Ii,CE 452L,Wednesday,11:00,02:00,FYP LAB,Dr.Shanila Azhar
BS-CE,NAN,8th,Iot,nan,Thursday,11:00,00:30,R5,Dr.Shanila Azhar
